Término ,Definición ,,,,,,,,,,,,,
¿Tikirel yib’e’ pa ruxkin jay?  ,¿Puedo ir al baño?,,,,,,,,,,,,,
¿tikirel yinel?,¿Puedo salir?,,,,,,,,,,,,,
¿Achike rub’eyal nib’ix?,¿Cómo se pronuncia?,,,,,,,,,,,,,
¿Acbhike rub’eyal pa kaxlan?,¿Qué significa en español?,,,,,,,,,,,,,
Man nintz’ët ta,No lo veo,,,,,,,,,,,,,
Tab’ana utzil katel chi ri’,Permiso por favor,,,,,,,,,,,,,
Xk’is yan ri ramaj,Se terminó el tiempo,,,,,,,,,,,,,
Kinato’,Ayúdame,,,,,,,,,,,,, 
Ja’,Si,,,,,,,,,,,,,
"Neq, ni’, manäq",No ,,,,,,,,,,,,,
¿Achike?,¿Qué?,,,,,,,,,,,,,
¿Akuchi’?,¿Dónde?,,,,,,,,,,,,,
¿Jampe’?,¿Cuándo?,,,,,,,,,,,,,
¿Achike rub’eyal?,¿Cómo?,,,,,,,,,,,,,
¿Achike?,¿Cuál?,,,,,,,,,,,,,
¿Achike ruma?,¿Por qué?,,,,,,,,,,,,,
Tab’ij jun b’ey chik,Dígalo otra vez,,,,,,,,,,,,,
Ja re’ ri nusamaj,Aquí está mi trabajo,,,,,,,,,,,,,
